DEP Open Series 3 Race 1,Football Stadium,999,999.999,MioElGato,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,148,107.834,MioElGato,Unknown,Five33Switchback,2021/02/10
DEP Open Series 3 Race 3,Karting Track,999,999.999,MioElGato,NO_DATA
DEP Open Series 3 Race 4,Football Stadium,189,87.001,MioElGato,Unknown,Five33Switchback,2021/02/24
DEP Open Series 3 Race 5,Football Stadium,186,109.207,MioElGato,Unknown,Five33Switchback,2021/03/03
DEP Open Series 3 Race 6,Football Stadium,115,119.274,MioElGato,Unknown,Five33Switchback,2021/03/10
DEP Open Series 3 Race 7,Football Stadium,150,116.403,MioElGato,Unknown,Five33Switchback,2021/03/17
DEP Open Series 4 Race 1,Football Stadium,191,120.802,MioElGato,Unknown,Five33Switchback,2021/03/31
DEP Open Series 4 Race 2,Football Stadium,157,132.315,MioElGato,Unknown,Five33Switchback,2021/04/07
DEP Open Series 4 Race 3,Football Stadium,999,999.999,MioElGato,NO_DATA
DEP Open Series 4 Race 4,Football Stadium,123,113.548,MioElGato,Unknown,Five33Switchback,2021/04/21
DEP Open Series 4 Race 5,Football Stadium,999,999.999,MioElGato,NO_DATA
DEP Open Series 4 Race 6,Football Stadium,154,92.255,MioElGato,Unknown,Five33Switchback,2021/05/12
DEP Open Series 4 Race 7,Football Stadium,186,94.457,MioElGato,Unknown,Five33Switchback,2021/05/26
TBS EU Spec Season 5 Race 1,Football Stadium,999,999.999,MioElGato,NO_DATA
TBS EU Spec Series 5 FINAL,Dynamic Weather,999,999.999,MioElGato,NO_DATA
TBS EU Spec Series 5 Losers Final,Dynamic Weather,161,105.864,MioElGato,Unknown,TBSSpec,2020/09/03
TBS EU Spec Series 5 Race 3,Dynamic Weather,197,107.373,MioElGato,Unknown,TBSSpec,2020/07/23
TBS EU Spec Series 5 Race 4,Football Stadium,999,999.999,MioElGato,NO_DATA
TBS EU Spec Series 5 Race 5,NEC Birmingham,180,101.426,MioElGato,Unknown,TBSSpec,2020/08/06
TBS EU Spec Series 5 Race 6,Dynamic Weather,184,94.525,MioElGato,Unknown,TBSSpec,2020/08/20
TBS EU Spec Series 5 Race 7,IndoorGoKart,178,105.864,MioElGato,Unknown,TBSSpec,2020/08/27
