
TBS EU Spec Series 6 Final,Empty Scene Day,187,103.772,Wesselfpv,Netherlands,Five33Switchback,2020/12/03
TBS EU Spec Series 6 Losers Final,Football Stadium,73,76.789,Wesselfpv,Netherlands,Five33Switchback,2020/12/11
TBS EU Spec Series 6 Race 1,Future Hangar Empty,104,78.646,Wesselfpv,Netherlands,Five33Switchback,2020/09/29
TBS EU Spec Series 6 Race 2,Empty Scene Day,57,72.215,Wesselfpv,Netherlands,Five33Switchback,2020/10/02
TBS EU Spec Series 6 Race 4,NEC Birmingham,63,73.764,Wesselfpv,Netherlands,Five33Switchback,2020/11/03
TBS EU Spec Series 6 Race 5,Dynamic Weather,999,999.999,Wesselfpv,NO_DATA
TBS EU Spec Series 6 Race 6,Empty Scene Day,92,82.450,Wesselfpv,Netherlands,TBSSpec,2020/11/12
TBS EU Spec Series 6 Race 7,Empty Scene Day,170,66.541,Wesselfpv,Netherlands,Five33Switchback,2020/11/23
TBS EU Spec Series 7 Final,Empty Scene Day,99,79.523,Wesselfpv,Netherlands,Five33Switchback,2021/03/13
TBS EU Spec Series 7 Race 1,Football Stadium,999,999.999,Wesselfpv,NO_DATA
TBS EU Spec Series 7 Race 2,Empty Scene Day,130,80.683,Wesselfpv,Netherlands,Five33Switchback,2021/01/26
TBS EU Spec Series 7 Race 3,Empty Scene Day,84,75.815,Wesselfpv,Netherlands,Five33Switchback,2021/01/26
TBS EU Spec Series 7 Race 4,Empty Scene Day,55,70.615,Wesselfpv,Netherlands,Five33Switchback,2021/02/02
TBS EU Spec Series 7 Race 5,IndoorGoKart,83,75.583,Wesselfpv,Netherlands,Five33Switchback,2021/02/11
TBS EU Spec Series 7 Race 6,Future Hangar Empty,129,85.077,Wesselfpv,Netherlands,Five33Switchback,2021/02/17
TBS EU Spec Series 7 Race 7,Empty Scene Day,182,104.169,Wesselfpv,Netherlands,Five33Switchback,2021/02/19
