DEP Open Series 3 Race 1,Football Stadium,999,999.999,StefanLjungberg,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,92,92.684,StefanLjungberg,Sweden,Five33Switchback,2021/03/15
DEP Open Series 3 Race 3,Karting Track,46,84.244,StefanLjungberg,Sweden,Five33Switchback,2021/03/13
DEP Open Series 3 Race 4,Football Stadium,42,60.824,StefanLjungberg,Sweden,Five33Switchback,2021/03/15
DEP Open Series 3 Race 5,Football Stadium,41,77.073,StefanLjungberg,Sweden,Five33Switchback,2021/03/14
DEP Open Series 3 Race 6,Football Stadium,999,999.999,StefanLjungberg,NO_DATA
DEP Open Series 3 Race 7,Football Stadium,999,999.999,StefanLjungberg,NO_DATA
TBS EU Spec Series 7 Final,Empty Scene Day,82,77.275,StefanLjungberg,Sweden,TBSSpec,2021/03/07
TBS EU Spec Series 7 Race 1,Football Stadium,999,999.999,StefanLjungberg,NO_DATA
TBS EU Spec Series 7 Race 2,Empty Scene Day,999,999.999,StefanLjungberg,NO_DATA
TBS EU Spec Series 7 Race 3,Empty Scene Day,91,76.705,StefanLjungberg,Sweden,TBSSpec,2021/01/26
TBS EU Spec Series 7 Race 4,Empty Scene Day,66,71.774,StefanLjungberg,Sweden,TBSSpec,2021/02/10
TBS EU Spec Series 7 Race 5,IndoorGoKart,57,73.270,StefanLjungberg,Sweden,Five33Switchback,2021/03/09
TBS EU Spec Series 7 Race 6,Future Hangar Empty,54,71.675,StefanLjungberg,Sweden,TBSSpec,2021/02/15
TBS EU Spec Series 7 Race 7,Empty Scene Day,47,74.970,StefanLjungberg,Sweden,TBSSpec,2021/02/24
