EU Spec Season 4 Race 1,Football Stadium,153,98.993,M4TTFPV,UnitedKingdom,TBSSpec,2020/04/30
RCTech.de EU Spec Series 2 Final,Empty Scene Day,999,999.999,M4TTFPV,NO_DATA
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,999,999.999,M4TTFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 1,Football Stadium,999,999.999,M4TTFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,999,999.999,M4TTFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,999,999.999,M4TTFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999,999.999,M4TTFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999,999.999,M4TTFPV,NO_DATA
RCTech_de EU Spec Series 3 Final,Empty Scene Day,112,87.605,M4TTFPV,UnitedKingdom,TBSSpec,2020/04/16
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,999,999.999,M4TTFPV,NO_DATA
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,999,999.999,M4TTFPV,NO_DATA
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,58,86.320,M4TTFPV,UnitedKingdom,TBSSpec,2020/05/09
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,111,116.096,M4TTFPV,UnitedKingdom,TBSSpec,2020/04/08
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,84,84.662,M4TTFPV,UnitedKingdom,TBSSpec,2020/04/09
TBS EU Spec Season 5 Race 1,Football Stadium,164,69.459,M4TTFPV,UnitedKingdom,TBSSpec,2020/07/10
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,56,80.033,M4TTFPV,UnitedKingdom,Five33Switchback,2022/02/23
TBS EU Spec Series 10 Losers Final,Football Stadium,123,73.295,M4TTFPV,UnitedKingdom,TBSSpec,2022/02/17
TBS EU Spec Series 10 Race 1,Football Stadium,76,67.291,M4TTFPV,UnitedKingdom,TBSSpec,2021/12/02
TBS EU Spec Series 10 Race 2,Empty Scene Day,56,67.918,M4TTFPV,UnitedKingdom,TBSSpec,2021/12/09
TBS EU Spec Series 10 Race 3,Night Factory 2,53,73.444,M4TTFPV,UnitedKingdom,TBSSpec,2021/12/16
TBS EU Spec Series 10 Race 4,Dynamic Weather,41,66.557,M4TTFPV,UnitedKingdom,TBSSpec,2022/01/06
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,43,61.029,M4TTFPV,UnitedKingdom,TBSSpec,2022/01/20
TBS EU Spec Series 10 Race 6,Large Carpark,37,42.813,M4TTFPV,UnitedKingdom,TBSSpec,2022/01/27
TBS EU Spec Series 10 Race 7,Football Stadium,82,80.110,M4TTFPV,UnitedKingdom,TBSSpec,2022/02/03
TBS EU Spec Series 4 FINAL,Dynamic Weather,139,104.020,M4TTFPV,UnitedKingdom,TBSSpec,2020/06/25
TBS EU Spec Series 4 Race 2,Empty Scene Day,146,76.979,M4TTFPV,UnitedKingdom,TBSSpec,2020/05/14
TBS EU Spec Series 4 Race 3,IndoorGoKart,71,112.467,M4TTFPV,UnitedKingdom,TBSSpec,2020/05/21
TBS EU Spec Series 4 Race 4,Empty Scene Day,82,87.209,M4TTFPV,UnitedKingdom,TBSSpec,2020/05/28
TBS EU Spec Series 4 Race 5,Dynamic Weather,82,95.431,M4TTFPV,UnitedKingdom,TBSSpec,2020/06/04
TBS EU Spec Series 4 Race 7,Football Stadium,999,999.999,M4TTFPV,NO_DATA
TBS EU Spec Series 5 FINAL,Dynamic Weather,999,999.999,M4TTFPV,NO_DATA
TBS EU Spec Series 5 Losers Final,Dynamic Weather,58,82.324,M4TTFPV,UnitedKingdom,TBSSpec,2020/09/03
TBS EU Spec Series 5 Race 3,Dynamic Weather,67,77.347,M4TTFPV,UnitedKingdom,TBSSpec,2020/07/23
TBS EU Spec Series 5 Race 4,Football Stadium,77,86.675,M4TTFPV,UnitedKingdom,TBSSpec,2020/07/30
TBS EU Spec Series 5 Race 5,NEC Birmingham,87,80.695,M4TTFPV,UnitedKingdom,TBSSpec,2020/08/06
TBS EU Spec Series 5 Race 6,Dynamic Weather,70,73.736,M4TTFPV,UnitedKingdom,TBSSpec,2020/08/20
TBS EU Spec Series 5 Race 7,IndoorGoKart,76,82.354,M4TTFPV,UnitedKingdom,TBSSpec,2020/08/27
TBS EU Spec Series 6 Final,Empty Scene Day,143,96.780,M4TTFPV,UnitedKingdom,TBSSpec,2020/12/03
TBS EU Spec Series 6 Losers Final,Football Stadium,80,76.927,M4TTFPV,UnitedKingdom,TBSSpec,2020/11/26
TBS EU Spec Series 6 Race 1,Future Hangar Empty,100,76.257,M4TTFPV,UnitedKingdom,TBSSpec,2020/09/24
TBS EU Spec Series 6 Race 2,Empty Scene Day,177,81.765,M4TTFPV,UnitedKingdom,TBSSpec,2020/10/01
TBS EU Spec Series 6 Race 4,NEC Birmingham,999,999.999,M4TTFPV,NO_DATA
TBS EU Spec Series 6 Race 5,Dynamic Weather,52,85.360,M4TTFPV,UnitedKingdom,TBSSpec,2020/11/12
TBS EU Spec Series 6 Race 6,Empty Scene Day,84,81.540,M4TTFPV,UnitedKingdom,TBSSpec,2020/11/12
TBS EU Spec Series 6 Race 7,Empty Scene Day,127,63.140,M4TTFPV,UnitedKingdom,TBSSpec,2020/11/19
TBS EU Spec Series 7 Final,Empty Scene Day,109,80.961,M4TTFPV,UnitedKingdom,TBSSpec,2021/03/04
TBS EU Spec Series 7 Race 1,Football Stadium,174,84.249,M4TTFPV,UnitedKingdom,TBSSpec,2021/01/07
TBS EU Spec Series 7 Race 2,Empty Scene Day,185,89.693,M4TTFPV,UnitedKingdom,TBSSpec,2021/01/25
TBS EU Spec Series 7 Race 3,Empty Scene Day,142,82.535,M4TTFPV,UnitedKingdom,TBSSpec,2021/01/25
TBS EU Spec Series 7 Race 4,Empty Scene Day,146,79.969,M4TTFPV,UnitedKingdom,TBSSpec,2021/01/28
TBS EU Spec Series 7 Race 5,IndoorGoKart,88,76.332,M4TTFPV,UnitedKingdom,TBSSpec,2021/02/04
TBS EU Spec Series 7 Race 6,Future Hangar Empty,111,79.976,M4TTFPV,UnitedKingdom,TBSSpec,2021/02/11
TBS EU Spec Series 7 Race 7,Empty Scene Day,99,85.129,M4TTFPV,UnitedKingdom,TBSSpec,2021/02/18
TBS EU Spec Series 8 Final,Dynamic Weather,57,83.554,M4TTFPV,UnitedKingdom,TBSSpec,2021/07/01
TBS EU Spec Series 8 Losers Final,Dynamic Weather,999,999.999,M4TTFPV,NO_DATA
TBS EU Spec Series 8 Race 1,Dynamic Weather,90,82.958,M4TTFPV,UnitedKingdom,TBSSpec,2021/03/18
TBS EU Spec Series 8 Race 2,Empty Scene Night,68,80.109,M4TTFPV,UnitedKingdom,TBSSpec,2021/03/25
TBS EU Spec Series 8 Race 3,Football Stadium,65,63.350,M4TTFPV,UnitedKingdom,TBSSpec,2021/04/22
TBS EU Spec Series 8 Race 4,Empty Scene Day,80,81.514,M4TTFPV,UnitedKingdom,TBSSpec,2021/05/06
TBS EU Spec Series 8 Race 5,Future Hangar Empty,69,62.190,M4TTFPV,UnitedKingdom,TBSSpec,2021/05/20
TBS EU Spec Series 8 Race 6,Football Stadium,92,71.532,M4TTFPV,UnitedKingdom,TBSSpec,2021/06/03
TBS EU Spec Series 8 Race 7,Empty Scene Day,97,80.314,M4TTFPV,UnitedKingdom,TBSSpec,2021/06/10
TBS EU Spec Series 9 Final,Dynamic Weather,111,74.063,M4TTFPV,UnitedKingdom,TBSSpec,2021/11/11
TBS EU Spec Series 9 Losers Final,Dynamic Weather,63,67.959,M4TTFPV,UnitedKingdom,TBSSpec,2021/11/04
TBS EU Spec Series 9 Race 1,Football Stadium,119,69.173,M4TTFPV,UnitedKingdom,TBSSpec,2021/09/09
TBS EU Spec Series 9 Race 2,Dynamic Weather,109,64.837,M4TTFPV,UnitedKingdom,TBSSpec,2021/09/16
TBS EU Spec Series 9 Race 3,Empty Scene Day,94,69.183,M4TTFPV,UnitedKingdom,TBSSpec,2021/09/23
TBS EU Spec Series 9 Race 4,Football Stadium,96,78.110,M4TTFPV,UnitedKingdom,TBSSpec,2021/09/30
TBS EU Spec Series 9 Race 5,Empty Scene Day,93,72.295,M4TTFPV,UnitedKingdom,TBSSpec,2021/10/07
TBS EU Spec Series 9 Race 6,Empty Scene Day,75,75.962,M4TTFPV,UnitedKingdom,TBSSpec,2021/10/28
TBS EU Spec Series 9 Race 7,NEC Birmingham,75,75.061,M4TTFPV,UnitedKingdom,TBSSpec,2021/10/28
