RCTech.de EU Spec Series 2 Final,Empty Scene Day,999,999.999,rafifly,NO_DATA
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,999,999.999,rafifly,NO_DATA
RCTech.de EU Spec Series 2 Race 1,Football Stadium,153,71.870,rafifly,France,Five33Switchback,2022/02/04
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,40,71.930,rafifly,France,Five33Switchback,2022/02/04
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,999,999.999,rafifly,NO_DATA
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,123,98.839,rafifly,France,Five33Switchback,2022/02/04
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,130,126.672,rafifly,France,Five33Switchback,2022/02/04
TBS EU Spec Series 10 Race 1,Football Stadium,149,90.406,rafifly,France,Five33Switchback,2022/01/06
TBS EU Spec Series 10 Race 2,Empty Scene Day,141,93.997,rafifly,France,Five33Switchback,2021/12/21
TBS EU Spec Series 10 Race 3,Night Factory 2,96,85.252,rafifly,France,Five33Switchback,2021/12/22
TBS EU Spec Series 10 Race 4,Dynamic Weather,116,82.022,rafifly,France,Five33Switchback,2022/01/08
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,47,63.261,rafifly,France,Five33Switchback,2022/02/03
TBS EU Spec Series 10 Race 6,Large Carpark,80,58.741,rafifly,France,Five33Switchback,2022/02/03
TBS EU Spec Series 10 Race 7,Football Stadium,33,73.822,rafifly,France,Five33Switchback,2022/02/07
TBS EU Spec Series 9 Final,Dynamic Weather,126,76.881,rafifly,France,Five33Switchback,2021/11/15
TBS EU Spec Series 9 Losers Final,Dynamic Weather,99,72.784,rafifly,France,Five33Switchback,2021/11/15
TBS EU Spec Series 9 Race 1,Football Stadium,196,86.885,rafifly,France,Five33Switchback,2021/09/16
TBS EU Spec Series 9 Race 2,Dynamic Weather,178,80.935,rafifly,France,TBSSpec,2021/10/17
TBS EU Spec Series 9 Race 3,Empty Scene Day,153,82.714,rafifly,France,TBSSpec,2021/09/30
TBS EU Spec Series 9 Race 4,Football Stadium,155,96.352,rafifly,France,TBSSpec,2021/10/06
TBS EU Spec Series 9 Race 5,Empty Scene Day,147,83.203,rafifly,France,LilBastard,2021/10/18
TBS EU Spec Series 9 Race 6,Empty Scene Day,96,84.014,rafifly,France,Five33Switchback,2021/11/03
TBS EU Spec Series 9 Race 7,NEC Birmingham,116,89.816,rafifly,France,Five33Switchback,2021/11/01
