DEP Open Pop-Up 2,Dynamic Weather,999,999.999,NicoFPV,NO_DATA
DEP Open Series 2 Race 1,Dynamic Weather,187,75.912,NicoFPV,Germany,Five33Switchback,2021/08/24
DEP Open Series 2 Race 7,Football Stadium,122,117.168,NicoFPV,Germany,Five33Switchback,2021/09/03
DEP Open Series 3 Race 1,Football Stadium,999,999.999,NicoFPV,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,173,122.011,NicoFPV,Germany,Five33Switchback,2021/09/19
DEP Open Series 3 Race 3,Karting Track,118,111.409,NicoFPV,Germany,TBSSpec,2021/12/14
DEP Open Series 3 Race 4,Football Stadium,118,73.590,NicoFPV,Germany,Five33Switchback,2021/12/23
DEP Open Series 3 Race 5,Football Stadium,159,103.404,NicoFPV,Germany,Five33Switchback,2021/12/24
DEP Open Series 3 Race 6,Football Stadium,103,116.002,NicoFPV,Germany,Five33Switchback,2022/01/15
DEP Open Series 3 Race 7,Football Stadium,116,108.089,NicoFPV,Germany,Five33Switchback,2022/01/15
DEP Open Series 4 Race 1,Football Stadium,168,116.721,NicoFPV,Germany,Five33Switchback,2022/01/21
DEP Open Series 4 Race 2,Football Stadium,110,119.133,NicoFPV,Germany,Five33Switchback,2022/01/22
DEP Open Series 4 Race 3,Football Stadium,134,89.486,NicoFPV,Germany,Five33Switchback,2022/01/22
DEP Open Series 4 Race 4,Football Stadium,102,103.211,NicoFPV,Germany,Five33Switchback,2022/01/22
DEP Open Series 4 Race 5,Football Stadium,133,79.529,NicoFPV,Germany,Five33Switchback,2022/01/23
DEP Open Series 4 Race 6,Football Stadium,128,86.027,NicoFPV,Germany,TBSSpec,2022/02/05
DEP Open Series 4 Race 7,Football Stadium,108,81.855,NicoFPV,Germany,Five33Switchback,2022/02/08
DEP Open Series 5 Race 1,Football Stadium,103,75.360,NicoFPV,Germany,Five33Switchback,2022/02/08
DEP Open Series 5 Race 2,Football Stadium,999,999.999,NicoFPV,NO_DATA
DEP Open Series 5 Race 3,Football Stadium,999,999.999,NicoFPV,NO_DATA
DEP Open Series 5 Race 4,Football Stadium,999,999.999,NicoFPV,NO_DATA
DEP Open Series 5 Race 5,Football Stadium,999,999.999,NicoFPV,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,999,999.999,NicoFPV,NO_DATA
DEP Open Series 5 Race 7,Football Stadium,999,999.999,NicoFPV,NO_DATA
DEP Spec Series 1 Race 5,Football Stadium,999,999.999,NicoFPV,NO_DATA
RCTech.de EU Spec Series 2 Final,Empty Scene Day,999,999.999,NicoFPV,NO_DATA
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,174,105.255,NicoFPV,Germany,TBSSpec,2021/02/16
RCTech.de EU Spec Series 2 Race 1,Football Stadium,999,999.999,NicoFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,118,94.383,NicoFPV,Germany,TBSSpec,2021/02/17
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,163,98.331,NicoFPV,Germany,Five33Switchback,2021/02/18
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,82,87.835,NicoFPV,Germany,Five33Switchback,2021/03/04
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999,999.999,NicoFPV,NO_DATA
