DEP Open Pop-Up 2,Dynamic Weather,999,999.999,BlueWolfTFS,NO_DATA
DEP Open Series 2 Race 1,Dynamic Weather,98,58.588,BlueWolfTFS,Poland,Five33Switchback,2020/12/09
DEP Open Series 2 Race 7,Football Stadium,999,999.999,BlueWolfTFS,NO_DATA
DEP Open Series 3 Race 1,Football Stadium,137,64.639,BlueWolfTFS,Poland,Five33Switchback,2021/08/19
DEP Open Series 3 Race 2,Football Stadium,90,91.457,BlueWolfTFS,Poland,TBSSpec,2021/02/10
DEP Open Series 3 Race 3,Karting Track,999,999.999,BlueWolfTFS,NO_DATA
DEP Open Series 3 Race 4,Football Stadium,111,72.159,BlueWolfTFS,Poland,TBSSpec,2021/02/24
DEP Open Series 3 Race 5,Football Stadium,83,85.314,BlueWolfTFS,Poland,Five33Switchback,2021/03/03
DEP Open Series 3 Race 6,Football Stadium,60,96.541,BlueWolfTFS,Poland,Five33Switchback,2021/03/10
DEP Open Series 3 Race 7,Football Stadium,62,88.884,BlueWolfTFS,Poland,Five33Switchback,2021/03/17
DEP Open Series 4 Race 1,Football Stadium,74,89.305,BlueWolfTFS,Poland,Five33Switchback,2021/07/20
DEP Open Series 4 Race 2,Football Stadium,43,96.525,BlueWolfTFS,Poland,Five33Switchback,2021/04/07
DEP Open Series 4 Race 3,Football Stadium,999,999.999,BlueWolfTFS,NO_DATA
DEP Open Series 4 Race 4,Football Stadium,44,84.211,BlueWolfTFS,Poland,Five33Switchback,2021/04/21
DEP Open Series 4 Race 5,Football Stadium,999,999.999,BlueWolfTFS,NO_DATA
DEP Open Series 4 Race 6,Football Stadium,999,999.999,BlueWolfTFS,NO_DATA
DEP Open Series 4 Race 7,Football Stadium,74,72.291,BlueWolfTFS,Poland,Five33Switchback,2021/08/07
DEP Open Series 5 Race 1,Football Stadium,999,999.999,BlueWolfTFS,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,52,76.042,BlueWolfTFS,Poland,Yakuza,2021/10/27
DEP Open Series 5 Race 3,Football Stadium,136,108.236,BlueWolfTFS,Poland,Yakuza,2021/11/23
DEP Open Series 5 Race 4,Football Stadium,61,89.446,BlueWolfTFS,Poland,Yakuza,2021/11/24
DEP Open Series 5 Race 5,Football Stadium,134,123.294,BlueWolfTFS,Poland,Yakuza,2021/12/15
DEP Open Series 5 Race 6,Football Stadium,63,74.635,BlueWolfTFS,Poland,Yakuza,2021/12/15
DEP Open Series 5 Race 7,Football Stadium,999,999.999,BlueWolfTFS,NO_DATA
DEP Open Series 6 Race 1,Football Stadium,999,999.999,BlueWolfTFS,NO_DATA
DEP Open Series 6 Race 2,Football Stadium,38,98.379,BlueWolfTFS,Poland,Five33Switchback,2022/03/09
DEP Spec Series 1 Race 5,Football Stadium,999,999.999,BlueWolfTFS,NO_DATA
TBS EU Spec Series 7 Final,Empty Scene Day,999,999.999,BlueWolfTFS,NO_DATA
TBS EU Spec Series 7 Race 1,Football Stadium,108,75.941,BlueWolfTFS,Poland,TBSSpec,2021/03/08
TBS EU Spec Series 7 Race 2,Empty Scene Day,105,75.308,BlueWolfTFS,Poland,TBSSpec,2021/03/08
TBS EU Spec Series 7 Race 3,Empty Scene Day,124,79.747,BlueWolfTFS,Poland,TBSSpec,2021/03/08
TBS EU Spec Series 7 Race 4,Empty Scene Day,117,75.843,BlueWolfTFS,Poland,TBSSpec,2021/03/08
TBS EU Spec Series 7 Race 5,IndoorGoKart,87,75.604,BlueWolfTFS,Poland,TBSSpec,2021/02/19
TBS EU Spec Series 7 Race 6,Future Hangar Empty,91,77.386,BlueWolfTFS,Poland,TBSSpec,2021/02/11
TBS EU Spec Series 7 Race 7,Empty Scene Day,71,81.022,BlueWolfTFS,Poland,TBSSpec,2021/03/07
TBS EU Spec Series 9 Final,Dynamic Weather,112,74.270,BlueWolfTFS,Poland,TBSSpec,2021/11/11
TBS EU Spec Series 9 Losers Final,Dynamic Weather,80,69.665,BlueWolfTFS,Poland,TBSSpec,2021/11/04
TBS EU Spec Series 9 Race 1,Football Stadium,80,62.274,BlueWolfTFS,Poland,TBSSpec,2021/09/09
TBS EU Spec Series 9 Race 2,Dynamic Weather,99,63.564,BlueWolfTFS,Poland,TBSSpec,2021/09/16
TBS EU Spec Series 9 Race 3,Empty Scene Day,75,65.197,BlueWolfTFS,Poland,Yakuza,2021/09/29
TBS EU Spec Series 9 Race 4,Football Stadium,82,73.860,BlueWolfTFS,Poland,TBSSpec,2021/09/30
TBS EU Spec Series 9 Race 5,Empty Scene Day,77,70.002,BlueWolfTFS,Poland,Yakuza,2021/10/19
TBS EU Spec Series 9 Race 6,Empty Scene Day,999,999.999,BlueWolfTFS,NO_DATA
TBS EU Spec Series 9 Race 7,NEC Birmingham,52,68.716,BlueWolfTFS,Poland,TBSSpec,2021/10/28
