DEP Open Series 3 Race 1,Football Stadium,119,62.690,KiloFoxtrot,UnitedStates,Five33Switchback,2021/02/22
DEP Open Series 3 Race 2,Football Stadium,61,85.049,KiloFoxtrot,UnitedStates,Five33Switchback,2021/02/21
DEP Open Series 3 Race 3,Karting Track,67,91.240,KiloFoxtrot,UnitedStates,Five33Switchback,2021/02/21
DEP Open Series 3 Race 4,Football Stadium,999,999.999,KiloFoxtrot,NO_DATA
DEP Open Series 3 Race 5,Football Stadium,114,92.529,KiloFoxtrot,UnitedStates,Five33Switchback,2021/03/12
DEP Open Series 3 Race 6,Football Stadium,999,999.999,KiloFoxtrot,NO_DATA
DEP Open Series 3 Race 7,Football Stadium,138,111.512,KiloFoxtrot,UnitedStates,TBSSpec,2021/03/17
TBS EU Spec Series 6 Final,Empty Scene Day,144,95.866,KiloFoxtrot,UnitedStates,TBSSpec,2020/12/11
TBS EU Spec Series 6 Losers Final,Football Stadium,162,90.258,KiloFoxtrot,UnitedStates,TBSSpec,2021/11/19
TBS EU Spec Series 6 Race 1,Future Hangar Empty,999,999.999,KiloFoxtrot,NO_DATA
TBS EU Spec Series 6 Race 2,Empty Scene Day,999,999.999,KiloFoxtrot,NO_DATA
TBS EU Spec Series 6 Race 4,NEC Birmingham,999,999.999,KiloFoxtrot,NO_DATA
TBS EU Spec Series 6 Race 5,Dynamic Weather,136,102.878,KiloFoxtrot,UnitedStates,TBSSpec,2021/11/15
TBS EU Spec Series 6 Race 6,Empty Scene Day,119,85.151,KiloFoxtrot,UnitedStates,TBSSpec,2021/11/19
TBS EU Spec Series 6 Race 7,Empty Scene Day,173,66.306,KiloFoxtrot,UnitedStates,TBSSpec,2020/11/25
TBS EU Spec Series 8 Final,Dynamic Weather,116,99.408,KiloFoxtrot,UnitedStates,TBSSpec,2022/01/11
TBS EU Spec Series 8 Losers Final,Dynamic Weather,141,78.131,KiloFoxtrot,UnitedStates,TBSSpec,2021/11/20
TBS EU Spec Series 8 Race 1,Dynamic Weather,148,93.591,KiloFoxtrot,UnitedStates,TBSSpec,2021/11/20
TBS EU Spec Series 8 Race 2,Empty Scene Night,110,94.382,KiloFoxtrot,UnitedStates,TBSSpec,2021/05/04
TBS EU Spec Series 8 Race 3,Football Stadium,97,67.830,KiloFoxtrot,UnitedStates,TBSSpec,2021/05/04
TBS EU Spec Series 8 Race 4,Empty Scene Day,121,88.377,KiloFoxtrot,UnitedStates,TBSSpec,2021/05/18
TBS EU Spec Series 8 Race 5,Future Hangar Empty,999,999.999,KiloFoxtrot,NO_DATA
TBS EU Spec Series 8 Race 6,Football Stadium,155,81.012,KiloFoxtrot,UnitedStates,TBSSpec,2021/06/14
TBS EU Spec Series 8 Race 7,Empty Scene Day,158,91.100,KiloFoxtrot,UnitedStates,TBSSpec,2021/06/23
