DDR Race Series - Track 1 by Sniper X dec,Empty Scene Day,999,999.999,Gugs,NO_DATA
DDR Race Series - Track 2 by Toxic fpv jan,Empty Scene Day,48,60.137,Gugs,UnitedStates,Five33Switchback,2022/04/07
DDR Race Series - Track 3 by Straydog fpv feb,Empty Scene Day,999,999.999,Gugs,NO_DATA
DDR Race Series - Track 4 by Boner fpv march,Empty Scene Day,74,82.258,Gugs,UnitedStates,Five33Switchback,2022/03/07
DDR Race Series - Track 5 by NelisFPV fpv april,Empty Scene Day,77,66.258,Gugs,UnitedStates,Five33Switchback,2022/04/02
DEP Open Series 4 Race 1,Football Stadium,999,999.999,Gugs,NO_DATA
DEP Open Series 4 Race 2,Football Stadium,999,999.999,Gugs,NO_DATA
DEP Open Series 4 Race 3,Football Stadium,115,77.153,Gugs,UnitedStates,Ossa,2021/08/01
DEP Open Series 4 Race 4,Football Stadium,999,999.999,Gugs,NO_DATA
DEP Open Series 4 Race 5,Football Stadium,142,72.934,Gugs,UnitedStates,Ossa,2021/05/03
DEP Open Series 4 Race 6,Football Stadium,93,73.324,Gugs,UnitedStates,SingularitumV5,2021/08/19
DEP Open Series 4 Race 7,Football Stadium,114,75.421,Gugs,UnitedStates,Five33Switchback,2022/01/30
Formula FLow I,Empty Scene Day,40,58.332,Gugs,UnitedStates,Five33Switchback,2022/03/10
Formula Flow II,Empty Scene Day,23,79.441,Gugs,UnitedStates,Five33Switchback,2022/03/09
Formula Flow III,Empty Scene Day,46,135.081,Gugs,UnitedStates,Five33Switchback,2022/03/09
Formula Flow IV,Empty Scene Day,999,999.999,Gugs,NO_DATA
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,999,999.999,Gugs,NO_DATA
TBS EU Spec Series 10 Losers Final,Football Stadium,99,60.034,Gugs,UnitedStates,TBSSpec,2022/02/11
TBS EU Spec Series 10 Race 1,Football Stadium,65,62.377,Gugs,UnitedStates,Five33Switchback,2022/03/15
TBS EU Spec Series 10 Race 2,Empty Scene Day,999,999.999,Gugs,NO_DATA
TBS EU Spec Series 10 Race 3,Night Factory 2,999,999.999,Gugs,NO_DATA
TBS EU Spec Series 10 Race 4,Dynamic Weather,92,71.733,Gugs,UnitedStates,TBSSpec,2022/01/27
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,999,999.999,Gugs,NO_DATA
TBS EU Spec Series 10 Race 6,Large Carpark,81,54.558,Gugs,UnitedStates,Five33Switchback,2022/02/08
TBS EU Spec Series 10 Race 7,Football Stadium,62,72.949,Gugs,UnitedStates,Five33Switchback,2022/02/08
TBS EU Spec Series 8 Final,Dynamic Weather,108,94.169,Gugs,UnitedStates,Ossa,2021/07/03
TBS EU Spec Series 8 Losers Final,Dynamic Weather,36,56.951,Gugs,UnitedStates,Five33Switchback,2022/04/11
TBS EU Spec Series 8 Race 1,Dynamic Weather,200,100.542,Gugs,UnitedStates,Ossa,2021/04/21
TBS EU Spec Series 8 Race 2,Empty Scene Night,999,999.999,Gugs,NO_DATA
TBS EU Spec Series 8 Race 3,Football Stadium,168,75.121,Gugs,UnitedStates,Ossa,2021/05/02
TBS EU Spec Series 8 Race 4,Empty Scene Day,999,999.999,Gugs,NO_DATA
TBS EU Spec Series 8 Race 5,Future Hangar Empty,999,999.999,Gugs,NO_DATA
TBS EU Spec Series 8 Race 6,Football Stadium,76,69.198,Gugs,UnitedStates,Five33Switchback,2022/02/02
TBS EU Spec Series 8 Race 7,Empty Scene Day,51,72.705,Gugs,UnitedStates,Five33Switchback,2022/02/07
TBS EU Spec Series 9 Final,Dynamic Weather,999,999.999,Gugs,NO_DATA
TBS EU Spec Series 9 Losers Final,Dynamic Weather,110,72.321,Gugs,UnitedStates,TBSSpec,2021/11/05
TBS EU Spec Series 9 Race 1,Football Stadium,104,64.179,Gugs,UnitedStates,Five33Switchback,2022/02/14
TBS EU Spec Series 9 Race 2,Dynamic Weather,999,999.999,Gugs,NO_DATA
TBS EU Spec Series 9 Race 3,Empty Scene Day,109,69.013,Gugs,UnitedStates,Five33Switchback,2021/11/16
TBS EU Spec Series 9 Race 4,Football Stadium,79,72.339,Gugs,UnitedStates,Five33Switchback,2021/10/11
TBS EU Spec Series 9 Race 5,Empty Scene Day,77,67.652,Gugs,UnitedStates,Five33Switchback,2022/05/21
TBS EU Spec Series 9 Race 6,Empty Scene Day,51,68.059,Gugs,UnitedStates,Five33Switchback,2021/10/28
TBS EU Spec Series 9 Race 7,NEC Birmingham,999,999.999,Gugs,NO_DATA
