Formula FLow I,Empty Scene Day,82.491,JFP3,RussianFederation,Five33Switchback,2022/03/19
Formula Flow II,Empty Scene Day,145.019,JFP3,RussianFederation,Five33Switchback,2022/03/15
Formula Flow III,Empty Scene Day,199.334,JFP3,RussianFederation,Five33Switchback,2022/03/16
Formula Flow IV,Empty Scene Day,214.712,JFP3,RussianFederation,Five33Switchback,2022/03/14
TBS EU Spec Series 10 Losers Final,Football Stadium,93.965,JFP3,RussianFederation,Five33Switchback,2022/02/15
TBS EU Spec Series 10 Race 1,Football Stadium,999.999,JFP3,NO_DATA
TBS EU Spec Series 10 Race 2,Empty Scene Day,999.999,JFP3,NO_DATA
TBS EU Spec Series 10 Race 3,Night Factory 2,127.013,JFP3,RussianFederation,Five33Switchback,2021/12/30
TBS EU Spec Series 10 Race 4,Dynamic Weather,999.999,JFP3,NO_DATA
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,126.729,JFP3,RussianFederation,Five33Switchback,2022/01/26
TBS EU Spec Series 10 Race 6,Large Carpark,118.904,JFP3,RussianFederation,Five33Switchback,2022/02/15
TBS EU Spec Series 10 Race 7,Football Stadium,123.080,JFP3,RussianFederation,Five33Switchback,2022/02/15
