2022 MultiGP IO Freedom Spec,Dynamic Weather,127.702,Dragony,Switzerland,Five33Switchback,2022/05/30
2022 MultiGP IO Intermediate,Dynamic Weather,62.267,Dragony,Switzerland,Five33Switchback,2022/05/27
2022 MultiGP IO Team,Dynamic Weather,84.120,Dragony,Switzerland,Five33Switchback,2022/05/30
2022 MultiGP IO World Cup,Dynamic Weather,79.759,Dragony,Switzerland,Five33Switchback,2022/05/30
Formula FLow I,Empty Scene Day,64.233,Dragony,Switzerland,Five33Switchback,2022/03/15
Formula Flow II,Empty Scene Day,92.706,Dragony,Switzerland,Five33Switchback,2022/03/21
Formula Flow III,Empty Scene Day,116.688,Dragony,Switzerland,Five33Switchback,2022/03/17
Formula Flow IV,Empty Scene Day,122.581,Dragony,Switzerland,Five33Switchback,2022/03/20
Mayhem 22 by SFPV,Empty Scene Day,999.999,Dragony,NO_DATA
MGP Ice Rink Race 2022,Empty Scene Day,999.999,Dragony,NO_DATA
MultiGP 2022 Global Qualifier,Dynamic Weather,999.999,Dragony,NO_DATA
TBS EU Spec Series 11 Final,Dynamic Weather,82.201,Dragony,Switzerland,TBSSpec,2022/08/20
TBS EU Spec Series 11 Race 1,Dynamic Weather,67.952,Dragony,Switzerland,TBSSpec,2022/07/19
TBS EU Spec Series 11 Race 2,Countryside,999.999,Dragony,NO_DATA
TBS EU Spec Series 11 Race 3,Dynamic Weather,999.999,Dragony,NO_DATA
TBS EU Spec Series 11 Race 5,Dynamic Weather,999.999,Dragony,NO_DATA
TBS EU Spec Series 11 Race 5,NEC Birmingham,63.590,Dragony,Switzerland,TBSSpec,2022/07/19
TBS EU Spec Series 11 Race 6,Dynamic Weather,66.141,Dragony,Switzerland,TBSSpec,2022/07/19
TBS EU Spec Series 11 Race 7,Dynamic Weather,73.296,Dragony,Switzerland,TBSSpec,2022/07/28
TBS EU Spec Series 12 Final,Dynamic Weather,97.602,Dragony,Switzerland,TBSSpec,2023/02/16
TBS EU Spec Series 12 Losers Final,Dynamic Weather,95.691,Dragony,Switzerland,TBSSpec,2023/02/09
TBS EU Spec Series 12 Race 1,Dynamic Weather,80.659,Dragony,Switzerland,TBSSpec,2022/12/08
TBS EU Spec Series 12 Race 2,NEC Birmingham,77.740,Dragony,Switzerland,TBSSpec,2022/12/15
TBS EU Spec Series 12 Race 3,Dynamic Weather,70.092,Dragony,Switzerland,TBSSpec,2022/12/29
TBS EU Spec Series 12 Race 4,Night Factory 2,70.731,Dragony,Switzerland,TBSSpec,2023/01/05
TBS EU Spec Series 12 Race 5,Dynamic Weather,73.813,Dragony,Switzerland,TBSSpec,2023/01/12
TBS EU Spec Series 12 Race 6,Dynamic Weather,73.463,Dragony,Switzerland,TBSSpec,2023/01/21
TBS EU Spec Series 12 Race 7,Dynamic Weather,76.968,Dragony,Switzerland,TBSSpec,2023/01/26
VRL S9 FINALS,Dynamic Weather,999.999,Dragony,NO_DATA
VRL S9 T1,Dynamic Weather,85.598,Dragony,Switzerland,Five33Switchback,2023/01/19
VRL S9 T2,Dynamic Weather,75.787,Dragony,Switzerland,Five33Switchback,2023/01/22
VRL S9 T3,Dynamic Weather,70.388,Dragony,Switzerland,Five33Switchback,2023/01/30
VRL S9 T4,Dynamic Weather,85.031,Dragony,Switzerland,Five33Switchback,2023/02/18
VRL S9 T5,Dynamic Weather,99.685,Dragony,Switzerland,Five33Switchback,2023/02/23
VRL S9 T6,Dynamic Weather,185.607,Dragony,Switzerland,Five33Switchback,2023/02/27
VRL S9 T7,Dynamic Weather,100.325,Dragony,Switzerland,Five33Switchback,2023/03/09
VRL S9 T8,Dynamic Weather,102.275,Dragony,Switzerland,Five33Switchback,2023/03/14
VRL Season 9 Tryouts,Dynamic Weather,110.690,Dragony,Switzerland,Five33Switchback,2022/12/22
Week 10 TT - MCKPractice2,Football Stadium,71.499,Dragony,Switzerland,TBSSpec,2022/01/09
Week 12 TT - GQ22 by Chris M,Football Stadium,46.555,Dragony,Switzerland,Five33Switchback,2022/02/04
Week 1 TT - Levice by TheFPVdoctor,Empty Scene Day,999.999,Dragony,NO_DATA
Week 2 TT - Ruinous by NM Grower,Dynamic Weather,999.999,Dragony,NO_DATA
Week 5 TT - Cuernavaca LightPath by MorshaFPV,Empty Scene Night,124.275,Dragony,Switzerland,TBSOblivion,2021/11/23
Week 8 TT - DF1 by DragonFlyte,Dynamic Weather,999.999,Dragony,NO_DATA
Week 9 TT - CM17 by Chris M,Football Stadium,85.516,Dragony,Switzerland,Five33Switchback,2022/02/16
