DDR Race Series - Track 1 by Sniper X dec,Empty Scene Day,999.999,UnderTheRadar,NO_DATA
DDR Race Series - Track 2 by Toxic fpv jan,Empty Scene Day,999.999,UnderTheRadar,NO_DATA
DDR Race Series - Track 3 by Straydog fpv feb,Empty Scene Day,108.562,UnderTheRadar,Canada,TwigXL3,2022/02/13
DDR Race Series - Track 4 by Boner fpv march,Empty Scene Day,91.191,UnderTheRadar,Canada,Five33Switchback,2022/03/11
DDR Race Series - Track 5 by NelisFPV fpv april,Empty Scene Day,62.816,UnderTheRadar,Canada,TwigXL3,2022/04/04
DEP Open Series 5 Race 1,Football Stadium,999.999,UnderTheRadar,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,999.999,UnderTheRadar,NO_DATA
DEP Open Series 5 Race 3,Football Stadium,100.200,UnderTheRadar,Canada,TBSSpec,2021/11/23
DEP Open Series 5 Race 4,Football Stadium,110.812,UnderTheRadar,Canada,TwigXL3,2021/11/25
DEP Open Series 5 Race 5,Football Stadium,121.167,UnderTheRadar,Canada,TBSSpec,2021/12/15
DEP Open Series 5 Race 6,Football Stadium,999.999,UnderTheRadar,NO_DATA
DEP Open Series 5 Race 7,Football Stadium,195.343,UnderTheRadar,Canada,TwigXL3,2022/01/04
DEP Open Series 6 Race 1,Football Stadium,107.811,UnderTheRadar,Canada,Five33Switchback,2022/03/11
DEP Open Series 6 Race 2,Football Stadium,108.468,UnderTheRadar,Canada,Five33Switchback,2022/03/18
Formula FLow I,Empty Scene Day,68.472,UnderTheRadar,Canada,Five33Switchback,2022/03/13
Formula Flow II,Empty Scene Day,142.401,UnderTheRadar,Canada,TwigXL3,2022/03/09
Formula Flow III,Empty Scene Day,159.186,UnderTheRadar,Canada,TwigXL3,2022/03/09
Formula Flow IV,Empty Scene Day,192.896,UnderTheRadar,Canada,TwigXL3,2022/03/09
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,87.441,UnderTheRadar,Canada,Five33Switchback,2022/02/27
TBS EU Spec Series 10 Losers Final,Football Stadium,71.402,UnderTheRadar,Canada,TwigXL3,2022/02/14
TBS EU Spec Series 10 Race 1,Football Stadium,999.999,UnderTheRadar,NO_DATA
TBS EU Spec Series 10 Race 2,Empty Scene Day,999.999,UnderTheRadar,NO_DATA
TBS EU Spec Series 10 Race 3,Night Factory 2,999.999,UnderTheRadar,NO_DATA
TBS EU Spec Series 10 Race 4,Dynamic Weather,89.695,UnderTheRadar,Canada,TBSSpec,2022/01/11
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,74.669,UnderTheRadar,Canada,TwigXL3,2022/02/01
TBS EU Spec Series 10 Race 6,Large Carpark,999.999,UnderTheRadar,NO_DATA
TBS EU Spec Series 10 Race 7,Football Stadium,127.287,UnderTheRadar,Canada,TBSSpec,2022/02/12
TDRF Dutch nationals indoor race 1,Empty Scene Day,140.847,UnderTheRadar,Canada,HX115,2022/02/22
TDRF Dutch nationals indoor race 2,Empty Scene Day,999.999,UnderTheRadar,NO_DATA
TDRF Dutch nationals indoor race 3,Empty Scene Day,67.610,UnderTheRadar,Canada,TwigXL3,2022/03/13
TDRF Dutch nationals indoor race 4,Empty Scene Day,57.165,UnderTheRadar,Canada,TwigXL3,2022/04/08
Train insane - aircrasher powerloop - MaiOnHigh,Empty Scene Day,999.999,UnderTheRadar,NO_DATA
Train Insane - APEX Training Routine - MaiOnHigh,Empty Scene Day,34.268,UnderTheRadar,Canada,TwigXL3,2022/02/14
Train Insane - Corkscrews - MaiOnHigh,Empty Scene Day,40.323,UnderTheRadar,Canada,TBSSpec,2022/01/18
Train Insane - Dive - MaiOnHigh,Empty Scene Day,43.336,UnderTheRadar,Canada,CarbiXZero,2022/01/19
Train Insane - Dutch 8 - MaiOnHigh,Empty Scene Day,64.661,UnderTheRadar,Canada,TwigXL3,2022/02/12
Train insane - High jumps - MaiOnHigh,Empty Scene Day,999.999,UnderTheRadar,NO_DATA
Train Insane - Ladder - MaiOnHigh,Empty Scene Day,67.031,UnderTheRadar,Canada,TBSSpec,2022/01/13
Train Insane - Long Dive - MaiOnHigh,Empty Scene Day,29.678,UnderTheRadar,Canada,TBSSpec,2022/01/31
Train Insane - powerloops - MaiOnHigh,Empty Scene Day,48.131,UnderTheRadar,Canada,Five33Switchback,2022/02/27
Train insane - powerloop to sharp turn - MaiOnHigh,Empty Scene Day,999.999,UnderTheRadar,NO_DATA
Train Insane Race Track - MaiOnHigh,Empty Scene Day,999.999,UnderTheRadar,NO_DATA
Train Insane - Reversed split-s - MaiOnhigh,Empty Scene Day,67.535,UnderTheRadar,Canada,Five33Switchback,2022/02/27
Train insane - sharp turns - MaiOnHigh,Empty Scene Day,999.999,UnderTheRadar,NO_DATA
Train Insane - slalom - MaiOnHigh,Empty Scene Day,15.803,UnderTheRadar,Canada,Five33Switchback,2022/02/27
Train insane - Split-S ladder - MaiOnHigh,Empty Scene Day,999.999,UnderTheRadar,NO_DATA
Train insane - Split-S - MaiOnHigh,Empty Scene Day,999.999,UnderTheRadar,NO_DATA
Train Insane- Test1 - MaiOnHigh,Empty Scene Day,999.999,UnderTheRadar,NO_DATA
Train Insane - Tunnels - MaiOnHigh,Empty Scene Day,69.201,UnderTheRadar,Canada,Five33Switchback,2022/02/27
Train insane - wide slalom - MaiOnHigh,Empty Scene Day,999.999,UnderTheRadar,NO_DATA
